Date,Headline,Sentiment_Class,FinBERT_Score,Open,Close,Price_Direction,Sentiment_Correct
2025-04-24,Jim Cramer credits this week's rally to earnings and restraint from the White House,bullish,0.9344214797019958,103.48,106.43,bullish,True
2025-04-24,U.S. stocks extend gains amid rate cut hope,bullish,0.5581972002983093,103.48,106.43,bullish,True
2025-04-24,SK hynix posts record profits thanks to strong AI demand,bullish,0.951740562915802,103.48,106.43,bullish,True
2025-04-24,Is NVIDIA Corporation (NVDA) the Best Aggressive Growth Stock to Buy Now?,neutral,0.8189383745193481,103.48,106.43,bullish,False
2025-04-24,Intel delivers disappointing forecast ahead of job cuts to bring costs in line with smaller size,bearish,0.9694440364837646,103.48,106.43,bullish,False
2025-04-24,Google Parent Alphabet's Stock Climbs as AI-Fueled Search Growth Drives Revenue Beat,bullish,0.689848005771637,103.48,106.43,bullish,True
2025-04-24,Q1 2025 earnings call: CEO’s remarks,neutral,0.8710941672325134,103.48,106.43,bullish,False
2025-04-24,"Tech stocks climb as Nvidia, Amazon reject claims of AI buildout slowdown",bearish,0.8387731313705444,103.48,106.43,bullish,False
2025-04-24,"Intel issues weak guidance, says it will slash expenses this year",bearish,0.9578752517700196,103.48,106.43,bullish,False
2025-04-24,Google Earnings Stock Soars As Q1 Results Shatter Expectations,bearish,0.6194929480552673,103.48,106.43,bullish,False
2025-04-24,5 Top Stocks To Buy Now For May 2025,neutral,0.925402820110321,103.48,106.43,bullish,False
2025-04-24,PSA: MSI Sells Its Nvidia GeForce RTX 50-Series Blackwell Graphic Cards Under a Pen Name at Walmart,neutral,0.9536646604537964,103.48,106.43,bullish,False
2025-04-24,"VRT Q1 Earnings Call: Vertiv Lifts Full-Year Outlook Amid Data Center Demand, Tariff Management",bullish,0.924623429775238,103.48,106.43,bullish,True
2025-04-24,Uber Stock Gains On New Robotaxi Partnership With Volkswagen,bullish,0.9341849088668824,103.48,106.43,bullish,True
2025-04-24,Alphabet to report Q1 earnings results after the bell,neutral,0.906987726688385,103.48,106.43,bullish,False
2025-04-24,Should You Forget Nvidia and Buy These 2 Millionaire-Maker AI Stocks Instead?,neutral,0.9361078143119812,103.48,106.43,bullish,False
2025-04-24,Micron Stock Is Rising. How Earnings From a Rival Are Helping,bullish,0.9531072974205016,103.48,106.43,bullish,True
2025-04-24,Here's What to Expect From Automatic Data Processing's Next Earnings Report,neutral,0.9406633377075196,103.48,106.43,bullish,False
2025-04-24,"Hasbro Stock Soars, CEO Says ‘Well Positioned’ on Tariffs",bullish,0.7713868021965027,103.48,106.43,bullish,True
2025-04-24,Palantir Stock Extends Gains. Why Analysts Think It Could Rise as High as $125,bullish,0.9487748742103576,103.48,106.43,bullish,True
2025-04-24,Nvidia Stock Climbs. It’s Headed for Its 3rd Straight Day of Gains,bullish,0.7989137768745422,103.48,106.43,bullish,True
2025-04-24,Japan weighs buying more US soybeans as part of tariff deal,bullish,0.8704652786254883,103.48,106.43,bullish,True
2025-04-24,ServiceNow Stock Soars 15.5% After AI Breakthroughs and Bold $12.7B Forecast,bullish,0.8091105222702026,103.48,106.43,bullish,True
2025-04-24,Private Lenders in Europe Want In on the ‘Sell America’ Movement,neutral,0.8448531031608582,103.48,106.43,bullish,False
2025-04-24,This Key Risk Could Trigger a Double-Digit Nvidia Stock Plunge,bearish,0.8031147122383118,103.48,106.43,bullish,False
2025-04-24,Newmont Stock Leads Gold Miners’ Gains as Profit Tops Estimates,bullish,0.9222234487533568,103.48,106.43,bullish,True
2025-04-24,Bank Stocks Are Rising Again. Now Isn’t the Time to Buy,bearish,0.4045566618442535,103.48,106.43,bullish,False
2025-04-24,Stocks Rally on Strength in Big Tech and Dovish Fed Speak,bearish,0.5826346278190613,103.48,106.43,bullish,False
