Date,Stock,Source,Headline,URL
2025-04-18,Nvidia,CNA,Commentary: Nvidia chips don’t belong on the bargaining table,https://www.channelnewsasia.com/commentary/nvidia-chips-trump-tariffs-china-trade-war-ai-5073861
2025-04-18,Nvidia,Bangkok Post,Stocks make small gains amid trade talk hope,https://www.bangkokpost.com/business/general/3006291/stocks-make-small-gains-amid-trade-talk-hope
2025-04-18,Nvidia,Yahoo Entertainment,Trump Blinks: Tariff Retreat Sends Markets Soaring--TikTok Deal Now a Bargaining Chip,https://finance.yahoo.com/news/trump-blinks-tariff-retreat-sends-183948289.html
2025-04-18,Nvidia,CNET,Razer Is Once Again Selling at Least One of Its Laptops Despite Tariffs,https://www.cnet.com/tech/gaming/razer-is-back-to-selling-one-of-its-laptops-despite-tarrifs/
2025-04-18,Nvidia,CNET,Razer Is Back to Selling One of Its Laptops Despite Tariffs,https://www.cnet.com/tech/gaming/razer-is-back-to-selling-one-of-its-laptops-despite-tariffs/
2025-04-18,Nvidia,Biztoc.com,’s Growth Outlook Adjusted by UBS Over China Export Restrictions,https://biztoc.com/x/38c7b6fcec34e98c
2025-04-18,Nvidia,PR Newswire UK,Large Language Model Operationalization (LLMOps) Software Market Set for Explosive 21.3% CAGR Growth | Valuates Reports,https://www.prnewswire.co.uk/news-releases/large-language-model-operationalization-llmops-software-market-set-for-explosive-21-3-cagr-growth--valuates-reports-302432538.html
2025-04-18,Nvidia,Yahoo Entertainment,NVIDIA Corporation (NVDA)’s Growth Outlook Adjusted by UBS Over China Export Restrictions,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1623afea-5aa0-4a4a-966b-744655f0f2ce
2025-04-18,Nvidia,Biztoc.com,Evaluating NVIDIA Against Peers In Semiconductors & Semiconductor Equipment Industry,https://biztoc.com/x/0e9596054e7e579e
2025-04-18,Nvidia,Biztoc.com,"Tech Earnings Have Good News for Chip Stocks, So Far. And 1 Warning",https://biztoc.com/x/5987ebb304b19718
2025-04-18,Nvidia,Yahoo Entertainment,RBC Bearings (RBC) Surged on Strong Financial Results,https://finance.yahoo.com/news/rbc-bearings-rbc-surged-strong-143134232.html
